t shear free
 0.0025 0.8332781 0.8332781
 0.005 0.8337029 0.8337034
 0.0075 0.8341339 0.8341347
 0.01 0.8345723 0.8345733
 0.0125 0.8350201 0.835021
 0.015 0.8354784 0.835479
 0.0175 0.8359478 0.8359479
 0.02 0.8364282 0.8364277
 0.0225 0.8369193 0.8362632
 0.025 0.8367107 0.8367787
 0.0275 0.8372386000000001 0.8373019
 0.03 0.8377753999999999 0.8378325
 0.0325 0.8383207 0.8383708
 0.035 0.8388742 0.8389171
 0.03750000000000001 0.839436 0.8394713
 0.04 0.8400059 0.8400333
 0.0425 0.8405835 0.8406031
 0.04500000000000001 0.8411684 0.8411801
 0.0475 0.8417603 0.8417642
 0.05 0.8423587 0.8423549
 0.0525 0.8429632 0.8429518
 0.055 0.8435735 0.8435547
 0.0575 0.8441892 0.8441631000000001
 0.06 0.8440185 0.844156
 0.0625 0.8446469 0.8447792
 0.065 0.8452843 0.8454118
 0.0675 0.845928 0.846051
 0.07000000000000001 0.8465767 0.8466954
 0.07250000000000001 0.8472298 0.8473443000000001
 0.075 0.8478869 0.8479972
 0.0775 0.8485476 0.8486538
 0.08 0.8492119 0.849314
 0.0825 0.8498796 0.8499776
 0.08500000000000001 0.8505507 0.8506443
 0.08750000000000001 0.851225 0.8513142
 0.09 0.8519025 0.8519871999999999
 0.0925 0.8525831 0.8526631
 0.095 0.8532668 0.8533418
 0.0975 0.8538782 0.8540234
 0.1 0.8545666 0.8547077
 0.1025 0.8552612000000001 0.8553947
 0.105 0.8559601999999999 0.8560844
 0.1075 0.8566629 0.8567765000000001
 0.11 0.857369 0.8574712
 0.1125 0.8580781 0.8580475
 0.115 0.8587901 0.8587474
 0.1175 0.8595048 0.8594522999999999
 0.12 0.8602221 0.8601607
 0.1225 0.8609418 0.8608721
 0.125 0.8616639 0.8615859
 0.1275 0.8623883 0.8623021
 0.13 0.8631148 0.8630204
 0.1325 0.8638433 0.8637409
 0.135 0.8645737999999999 0.8644633
 0.1375 0.8653063 0.8651875
 0.14 0.8660406 0.8659136
 0.1425 0.8667766 0.8666415
 0.145 0.8675144 0.867371
 0.1475 0.8682538 0.8681022
 0.15 0.8689948 0.8688349
 0.1525 0.8697374 0.8695691
 0.155 0.8704815 0.8703048
 0.1575 0.871227 0.8710419
 0.16 0.8719739 0.8717804
 0.1625 0.8727222 0.8725202
 0.165 0.8734717 0.8732612
 0.1675 0.8742226 0.8740036
 0.17 0.8749747 0.8747471
 0.1725 0.875728 0.8754917
