t vof s11 s22 s12
0.000000e+00 8.336390e-01 1.332020e-04 -1.332020e-04 2.311623e+00
1.000000e-03 8.338113e-01 -1.296961e-04 1.296961e-04 2.311854e+00
2.000000e-03 8.339849e-01 -2.330992e-04 2.330992e-04 2.312169e+00
3.000000e-03 8.341598e-01 -2.787777e-04 2.787777e-04 2.312545e+00
4.000000e-03 8.343360e-01 -3.147572e-04 3.147572e-04 2.312964e+00
5.000000e-03 8.345135e-01 -3.578056e-04 3.578056e-04 2.313414e+00
6.000000e-03 8.346924e-01 -4.085659e-04 4.085659e-04 2.313883e+00
7.000000e-03 8.348727e-01 -4.607486e-04 4.607486e-04 2.314365e+00
8.000000e-03 8.350546e-01 -5.062864e-04 5.062864e-04 2.314855e+00
9.000000e-03 8.352381e-01 -5.379633e-04 5.379633e-04 2.315347e+00
1.000000e-02 8.354233e-01 -5.505443e-04 5.505443e-04 2.315838e+00
1.100000e-02 8.356101e-01 -5.410563e-04 5.410563e-04 2.316326e+00
1.200000e-02 8.357986e-01 -5.086198e-04 5.086198e-04 2.316809e+00
1.300000e-02 8.359888e-01 -4.540681e-04 4.540681e-04 2.317287e+00
1.400000e-02 8.361807e-01 -3.794933e-04 3.794933e-04 2.317759e+00
1.500000e-02 8.363743e-01 -2.877996e-04 2.877996e-04 2.318225e+00
1.600000e-02 8.365695e-01 -1.823073e-04 1.823073e-04 2.318685e+00
1.700000e-02 8.367664e-01 -6.642937e-05 6.642937e-05 2.319140e+00
1.800000e-02 8.369649e-01 5.657109e-05 -5.657109e-05 2.319592e+00
1.900000e-02 8.371649e-01 1.837458e-04 -1.837458e-04 2.320041e+00
2.000000e-02 8.373666e-01 3.125549e-04 -3.125549e-04 2.320489e+00
2.100000e-02 8.370856e-01 1.169701e-03 -1.169701e-03 2.317258e+00
2.200000e-02 8.372970e-01 2.096794e-03 -2.096794e-03 2.317461e+00
2.300000e-02 8.375106e-01 1.556746e-03 -1.556746e-03 2.317728e+00
2.400000e-02 8.377259e-01 9.594776e-04 -9.594776e-04 2.318088e+00
2.500000e-02 8.379426e-01 4.436202e-04 -4.436202e-04 2.318509e+00
2.600000e-02 8.381605e-01 -1.907110e-05 1.907110e-05 2.318968e+00
