t dvol s11 s22 s12
0.000000e+00 -2.068081e-01 1.332020e-04 -1.332020e-04 2.311623e+00
1.000000e-03 -2.084451e-01 -1.296693e-04 1.296693e-04 2.311376e+00
2.000000e-03 -2.099422e-01 -2.330024e-04 2.330024e-04 2.311209e+00
3.000000e-03 -2.114332e-01 -2.786034e-04 2.786034e-04 2.311100e+00
4.000000e-03 -2.129849e-01 -3.144939e-04 3.144939e-04 2.311030e+00
5.000000e-03 -2.146233e-01 -3.574302e-04 3.574302e-04 2.310986e+00
6.000000e-03 -2.163516e-01 -4.080497e-04 4.080497e-04 2.310959e+00
7.000000e-03 -2.181608e-01 -4.600669e-04 4.600669e-04 2.310941e+00
8.000000e-03 -2.200365e-01 -5.054270e-04 5.054270e-04 2.310925e+00
9.000000e-03 -2.219620e-01 -5.369320e-04 5.369320e-04 2.310908e+00
1.000000e-02 -2.239212e-01 -5.493669e-04 5.493669e-04 2.310885e+00
1.100000e-02 -2.258992e-01 -5.397784e-04 5.397784e-04 2.310855e+00
1.200000e-02 -2.278827e-01 -5.073039e-04 5.073039e-04 2.310815e+00
1.300000e-02 -2.298603e-01 -4.527901e-04 4.527901e-04 2.310765e+00
1.400000e-02 -2.318226e-01 -3.783382e-04 3.783382e-04 2.310704e+00
1.500000e-02 -2.337619e-01 -2.868571e-04 2.868571e-04 2.310633e+00
1.600000e-02 -2.356717e-01 -1.816677e-04 1.816677e-04 2.310551e+00
1.700000e-02 -2.375475e-01 -6.618074e-05 6.618074e-05 2.310460e+00
1.800000e-02 -2.393854e-01 5.634597e-05 -5.634597e-05 2.310362e+00
1.900000e-02 -2.411829e-01 1.829708e-04 -1.829708e-04 2.310256e+00
2.000000e-02 -2.429383e-01 3.111616e-04 -3.111616e-04 2.310144e+00
2.100000e-02 -2.529368e-01 1.164203e-03 -1.164203e-03 2.306365e+00
2.200000e-02 -2.556367e-01 2.086410e-03 -2.086410e-03 2.305984e+00
2.300000e-02 -2.575455e-01 1.548640e-03 -1.548640e-03 2.305660e+00
2.400000e-02 -2.591556e-01 9.542360e-04 -9.542360e-04 2.305424e+00
2.500000e-02 -2.606057e-01 4.410824e-04 -4.410824e-04 2.305246e+00
2.600000e-02 -2.619540e-01 -1.895706e-05 1.895706e-05 2.305101e+00
2.700000e-02 -2.632339e-01 -4.500129e-04 4.500129e-04 2.304976e+00
2.800000e-02 -2.644675e-01 -8.605186e-04 8.605186e-04 2.304857e+00
2.900000e-02 -2.656695e-01 -1.249387e-03 1.249387e-03 2.304736e+00
3.000000e-02 -2.668506e-01 -1.610887e-03 1.610887e-03 2.304606e+00
3.100000e-02 -2.680182e-01 -1.937454e-03 1.937454e-03 2.304462e+00
3.200000e-02 -2.691776e-01 -2.221281e-03 2.221281e-03 2.304301e+00
3.300000e-02 -2.703327e-01 -2.455275e-03 2.455275e-03 2.304121e+00
3.400000e-02 -2.714862e-01 -2.633628e-03 2.633628e-03 2.303922e+00
3.500000e-02 -2.726397e-01 -2.752156e-03 2.752156e-03 2.303706e+00
3.600000e-02 -2.737943e-01 -2.808457e-03 2.808457e-03 2.303475e+00
3.700000e-02 -2.749503e-01 -2.801943e-03 2.801943e-03 2.303232e+00
3.800000e-02 -2.761075e-01 -2.733764e-03 2.733764e-03 2.302980e+00
3.900000e-02 -2.772655e-01 -2.606642e-03 2.606642e-03 2.302723e+00
4.000000e-02 -2.784231e-01 -2.424653e-03 2.424653e-03 2.302464e+00
4.100000e-02 -2.806880e-01 -5.998112e-03 5.998112e-03 2.291609e+00
4.200000e-02 -2.829383e-01 -5.943482e-03 5.943482e-03 2.291445e+00
4.300000e-02 -2.847596e-01 -5.469868e-03 5.469868e-03 2.291323e+00
4.400000e-02 -2.863108e-01 -4.844674e-03 4.844674e-03 2.291244e+00
4.500000e-02 -2.876841e-01 -4.192879e-03 4.192879e-03 2.291200e+00
4.600000e-02 -2.889343e-01 -3.568116e-03 3.568116e-03 2.291185e+00
4.700000e-02 -2.900955e-01 -2.990124e-03 2.990124e-03 2.291188e+00
4.800000e-02 -2.911895e-01 -2.463354e-03 2.463354e-03 2.291205e+00
4.900000e-02 -2.922311e-01 -1.985916e-03 1.985916e-03 2.291231e+00
