a b c d e f g h i j k l m n o r s
nan nan nan nan nan nan nan nan 5.000000000000000278e-02 nan nan nan nan 3.000000000000000000e+00 5.299999999999999822e+00 7.399999999999999911e-01 6.099999999999999867e-01
nan nan nan nan 4.000000000000000000e+00 1.300000000000000044e+00 1.900000000000000022e-01 5.100000000000000089e-01 7.000000000000000666e-02 nan nan nan nan 4.000000000000000000e+00 5.099999999999999645e+00 7.600000000000000089e-01 5.000000000000000000e-01
nan nan nan nan 6.000000000000000000e+00 1.270000000000000018e+00 2.700000000000000178e-01 4.699999999999999734e-01 1.000000000000000056e-01 6.000000000000000000e+00 2.660000000000000142e+00 5.000000000000000000e-01 4.099999999999999756e-01 6.000000000000000000e+00 5.320000000000000284e+00 1.120000000000000107e+00 4.600000000000000200e-01
nan nan nan nan nan nan nan nan 1.300000000000000044e-01 8.000000000000000000e+00 2.649999999999999911e+00 6.600000000000000311e-01 3.800000000000000044e-01 8.000000000000000000e+00 5.209999999999999964e+00 1.179999999999999938e+00 3.200000000000000067e-01
1.000000000000000000e+01 5.999999999999999778e-01 2.000000000000000111e-01 4.099999999999999756e-01 1.000000000000000000e+01 1.070000000000000062e+00 2.999999999999999889e-01 2.999999999999999889e-01 1.600000000000000033e-01 1.000000000000000000e+01 2.600000000000000089e+00 8.599999999999999867e-01 4.099999999999999756e-01 1.000000000000000000e+01 4.769999999999999574e+00 1.399999999999999911e+00 3.300000000000000155e-01
1.200000000000000000e+01 6.199999999999999956e-01 2.500000000000000000e-01 4.000000000000000222e-01 1.200000000000000000e+01 nan nan nan 1.900000000000000022e-01 1.200000000000000000e+01 2.970000000000000195e+00 1.179999999999999938e+00 3.900000000000000133e-01 1.200000000000000000e+01 4.889999999999999680e+00 1.620000000000000107e+00 2.700000000000000178e-01
1.400000000000000000e+01 5.899999999999999689e-01 2.600000000000000089e-01 3.499999999999999778e-01 1.400000000000000000e+01 1.169999999999999929e+00 5.500000000000000444e-01 3.900000000000000133e-01 2.200000000000000011e-01 nan nan nan nan 1.400000000000000000e+01 5.879999999999999893e+00 2.319999999999999840e+00 2.700000000000000178e-01
1.600000000000000000e+01 6.500000000000000222e-01 2.800000000000000266e-01 2.099999999999999922e-01 nan nan nan nan 2.500000000000000000e-01 nan nan nan nan 1.600000000000000000e+01 5.099999999999999645e+00 2.189999999999999947e+00 2.200000000000000011e-01
nan nan nan nan nan nan nan nan 2.800000000000000266e-01 1.800000000000000000e+01 3.470000000000000195e+00 1.689999999999999947e+00 2.099999999999999922e-01 1.800000000000000000e+01 5.650000000000000355e+00 2.720000000000000195e+00 2.000000000000000111e-01
2.000000000000000000e+01 5.600000000000000533e-01 3.699999999999999956e-01 3.300000000000000155e-01 2.000000000000000000e+01 9.599999999999999645e-01 5.999999999999999778e-01 2.899999999999999800e-01 3.099999999999999978e-01 nan nan nan nan 2.000000000000000000e+01 5.080000000000000071e+00 2.910000000000000142e+00 2.300000000000000100e-01
3.000000000000000000e+01 6.600000000000000311e-01 6.700000000000000400e-01 2.500000000000000000e-01 3.000000000000000000e+01 8.399999999999999689e-01 1.050000000000000044e+00 3.900000000000000133e-01 4.299999999999999933e-01 nan nan nan nan 3.000000000000000000e+01 4.860000000000000320e+00 5.040000000000000036e+00 2.700000000000000178e-01
4.000000000000000000e+01 6.099999999999999867e-01 9.599999999999999645e-01 2.500000000000000000e-01 4.000000000000000000e+01 8.599999999999999867e-01 1.409999999999999920e+00 2.899999999999999800e-01 5.400000000000000355e-01 4.000000000000000000e+01 3.339999999999999858e+00 5.250000000000000000e+00 2.500000000000000000e-01 4.000000000000000000e+01 4.129999999999999893e+00 6.259999999999999787e+00 2.200000000000000011e-01
5.000000000000000000e+01 5.600000000000000533e-01 1.219999999999999973e+00 1.900000000000000022e-01 5.000000000000000000e+01 9.599999999999999645e-01 2.350000000000000089e+00 2.800000000000000266e-01 6.400000000000000133e-01 5.000000000000000000e+01 3.270000000000000018e+00 7.370000000000000107e+00 2.200000000000000011e-01 5.000000000000000000e+01 4.709999999999999964e+00 1.075000000000000000e+01 2.300000000000000100e-01
