target_frac co_fracs_mean co_fracs_std cont_mean cont_std cont_potts_mean cont_potts_std d_eq_mean_mean d_eq_mean_std d_eq_potts_mean_mean d_eq_potts_mean_std
1.000000000000000021e-02 9.896298000000000039e-01 3.323007071915562915e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.016422464332931597e+00 4.752784212371521932e-02 1.016422464332931597e+00 4.752784212371521932e-02
1.521428571428571630e-01 8.480792000000001440e-01 3.918527274372424294e-04 3.518628187868048929e-02 3.710944317232161855e-03 3.056737078764889051e-02 3.131123779279581382e-03 1.013648841408074874e+00 2.868087850582950321e-02 1.014191608841012338e+00 2.875201432140540858e-02
2.942857142857143171e-01 7.091232000000000646e-01 5.044884141385405033e-04 7.203817904530505911e-02 3.220910602580246557e-03 6.282483078110646935e-02 2.297197753548875596e-03 9.982598020272011041e-01 4.855114074656763194e-03 9.993008620788608187e-01 4.929269012267127430e-03
4.364285714285714990e-01 5.718685999999999492e-01 7.826073344915846549e-04 1.145937673312767968e-01 1.707072969515026004e-03 9.954979257767318512e-02 1.021576417174241067e-03 9.861212999257780165e-01 4.989320503715127982e-03 9.879069504806284874e-01 4.880571781343326192e-03
5.785714285714286254e-01 4.409653999999999519e-01 7.440060752440444663e-04 1.885963188957685555e-01 9.482822850013149186e-04 1.649442327189826196e-01 1.321874384824328445e-03 9.770620055182442920e-01 1.644717471476776077e-02 9.800302187765442818e-01 1.646682445063028799e-02
7.207142857142857517e-01 3.251912000000000136e-01 4.312861694977225698e-04 3.101399292490700788e-01 1.021738848775000054e-03 2.775134587827904342e-01 1.899398885483263161e-03 9.646474154180422200e-01 7.025802078767040895e-03 9.708018200128758490e-01 6.952092433566142184e-03
8.628571428571429891e-01 2.330863999999999991e-01 5.391350851131582146e-04 4.590263087611359261e-01 1.584706748050810059e-03 4.161152614991611709e-01 1.236465982408376180e-03 9.457207679336073758e-01 1.688768270848087661e-03 9.567010893826051188e-01 1.972202401422879035e-03
1.005000000000000115e+00 1.646993999999999958e-01 7.805089621522597358e-04 5.924704613072692139e-01 9.375303982893032351e-04 5.428291305487888962e-01 5.174338604319486494e-03 9.132784803925074746e-01 5.361513223194979902e-03 9.300152056280301949e-01 5.642966115064169258e-03
1.147142857142857242e+00 1.153537999999999925e-01 5.915783633636293804e-04 7.013045168672511487e-01 5.302304280179742776e-04 6.554120947795720742e-01 3.476198934112632519e-03 8.802254170540372291e-01 5.706460031246801158e-03 9.036901387699064481e-01 5.549481785354123953e-03
1.289285714285714368e+00 8.105719999999998204e-02 3.770758013980634064e-04 7.822926782599045614e-01 5.509680085236100819e-04 7.384080647889849081e-01 3.133239386105189390e-03 8.541448690584733106e-01 3.842457464485789318e-03 8.837193951425582616e-01 3.672228195731247653e-03
1.431428571428571495e+00 5.922880000000001199e-02 8.259751570113781343e-04 8.379292324323165397e-01 8.691557017940849039e-04 8.008991270684082675e-01 4.950070808351614803e-03 8.191697583195889365e-01 7.319495519923704431e-03 8.537985082448728003e-01 7.698045171587288363e-03
1.573571428571428621e+00 4.575319999999998000e-02 2.764151949513473446e-04 8.745514640335324552e-01 4.465825605066097684e-04 8.463132377542275098e-01 3.876025853295753023e-03 7.874099793856862428e-01 2.825490346228082175e-03 8.256172778513459765e-01 2.520556738220774626e-03
1.715714285714285969e+00 3.460300000000000875e-02 5.216634930680600236e-04 9.032980020825792655e-01 1.088169837537796003e-03 8.770120965315575390e-01 2.340653753579560563e-03 7.587376128589842228e-01 6.538556953472668930e-03 7.982463967019214346e-01 6.554987689799784967e-03
1.857857142857143096e+00 2.675320000000001169e-02 5.456817387452149665e-04 9.245896764801516676e-01 1.236553397773403886e-03 9.029744184497676684e-01 2.912373068009049132e-03 7.281454122842948573e-01 4.840325244085791866e-03 7.684179083541222699e-01 5.282164651164816295e-03
2.000000000000000000e+00 1.972240000000000798e-02 3.358991515321382544e-04 9.428522811483224242e-01 7.374545536498342208e-04 9.272276217898290929e-01 2.427966127753310686e-03 7.002992755388018908e-01 2.187714006713621737e-03 7.408183277045263804e-01 2.638000579577664227e-03
