target_frac co_fracs_mean co_fracs_std cont_mean cont_std cont_potts_mean cont_potts_std d_eq_mean_mean d_eq_mean_std d_eq_potts_mean_mean d_eq_potts_mean_std
1.000000000000000021e-02 9.895118000000000524e-01 3.213347164559226350e-05 2.783612379527670012e-04 2.357219593927999471e-04 2.783612379527670012e-04 2.357219593927999471e-04 1.000502562477724622e+00 1.017208461279561120e-03 1.000502562477724622e+00 1.017208461279561120e-03
1.521428571428571630e-01 8.486015999999999559e-01 1.031980619972962233e-04 3.924328523735037821e-02 3.413422249227109594e-03 3.422192044365962582e-02 2.850298228337894840e-03 9.978483291066433392e-01 2.286751424395692424e-04 9.977844807990822185e-01 2.517027124325865815e-04
2.942857142857143171e-01 7.085814000000000279e-01 2.345809881469861048e-04 6.958626733970410538e-02 2.156575506041136930e-03 6.094437209083895801e-02 1.668304514904506413e-03 9.961322116615043409e-01 2.699161850202346294e-04 9.960059303089927596e-01 2.515330295173038764e-04
4.364285714285714990e-01 5.721123999999999654e-01 2.646239596106303958e-04 1.200564002013353865e-01 1.293550268865529531e-03 1.042708551926408572e-01 1.075363149900760177e-03 9.931618538358817361e-01 2.083586868464644827e-04 9.928906143964966180e-01 2.213474182735761416e-04
5.785714285714286254e-01 4.407130000000000214e-01 4.250929310162502748e-04 1.931919025169522020e-01 2.529295195882799111e-03 1.698424471072143283e-01 1.088844330653962380e-03 9.886265482514733360e-01 2.565928968652734935e-04 9.883584943722591998e-01 3.985200378938981696e-04
7.207142857142857517e-01 3.258714000000000333e-01 8.396753182034170796e-04 3.237517119187366399e-01 8.524782556466533072e-04 2.848291551784480902e-01 2.102608499339954536e-03 9.774634672355111409e-01 4.149903074234852782e-04 9.769932950792126203e-01 4.881189057427899104e-04
8.628571428571429891e-01 2.337067999999999923e-01 6.499324272568610594e-04 4.713427832479707424e-01 5.556432217605335264e-04 4.226478361557914343e-01 3.090013762407366367e-03 9.601834095566360583e-01 2.858134092039489333e-04 9.602465900184909975e-01 3.225438205379259132e-04
1.005000000000000115e+00 1.644329999999999958e-01 5.395713113203904482e-04 6.076615465889981804e-01 9.776920427903698294e-04 5.548047678493529533e-01 4.044031500354916368e-03 9.380133515246147358e-01 2.607944943240147833e-04 9.391268534530825551e-01 4.046147854718171177e-04
1.147142857142857242e+00 1.137374000000000163e-01 7.936771635873227353e-04 7.169737253886558914e-01 8.546299802319912587e-04 6.652652366972621190e-01 3.036157214944007737e-03 9.133905646539860479e-01 3.183229562983711717e-04 9.161793044186088419e-01 4.619079567979298469e-04
1.289285714285714368e+00 7.786820000000001241e-02 6.342909111756174067e-04 7.999913311598627619e-01 7.651272780359106955e-04 7.536012755608181291e-01 3.977346511134647287e-03 8.872346724954237596e-01 2.360309831374093751e-04 8.926242475083465688e-01 3.071778847971587205e-04
1.431428571428571495e+00 5.467299999999999244e-02 2.659481152405338673e-04 8.570067265491436714e-01 4.955429031168180577e-04 8.206661577558248544e-01 3.079134123031693204e-03 8.599441640633893602e-01 1.152292212108566841e-04 8.691250649966437702e-01 2.211407751025266369e-04
1.573571428571428621e+00 4.070659999999999556e-02 5.670518847512999493e-04 8.930387448412808737e-01 9.063075991708715229e-04 8.620733551908934533e-01 2.904259080376823867e-03 8.317532114516372754e-01 2.120929810264671081e-04 8.453731424127569616e-01 2.654460768694752145e-04
1.715714285714285969e+00 3.068820000000000922e-02 1.654912686518721836e-04 9.192394094068401245e-01 3.616189775512110597e-04 8.947989662629012297e-01 3.488212489798064603e-03 8.042326810763181788e-01 1.907060729814495919e-04 8.226491079245693561e-01 2.435989406415511762e-04
1.857857142857143096e+00 2.334220000000000045e-02 4.186035833577866406e-04 9.379948939538607089e-01 7.382964536782673105e-04 9.195968729972342492e-01 2.654680682734708586e-03 7.774438824529971148e-01 1.426298171910450228e-04 8.001714958254716459e-01 2.475560357304012896e-04
2.000000000000000000e+00 1.700179999999997665e-02 3.422463440272171848e-04 9.540820512703321876e-01 5.358514961129919995e-04 9.374284914985780981e-01 1.729821702687375394e-03 7.528145841365311286e-01 1.590469842570109990e-04 7.777043040472086943e-01 2.452667879703320018e-04
