target_frac co_fracs_mean co_fracs_std cont_mean cont_std cont_potts_mean cont_potts_std d_eq_mean_mean d_eq_mean_std d_eq_potts_mean_mean d_eq_potts_mean_std
1.000000000000000021e-02 9.891692000000000817e-01 4.850057319248933020e-04 5.417477269851779346e-03 8.183586893596628623e-03 4.048594136110712088e-03 6.018890102867951834e-03 1.017102108398796112e+00 7.855067964675227499e-02 1.017134616634080890e+00 7.854259940376594196e-02
1.521428571428571630e-01 8.516554000000000624e-01 7.026699367412972191e-04 7.295778276608373691e-02 6.573065955148778977e-03 6.205173426066094150e-02 5.656912912154365980e-03 9.831151552984286335e-01 1.417676021131688939e-02 9.849320294823182831e-01 1.458694194428552734e-02
2.942857142857143171e-01 7.220427999999999846e-01 9.800902815557675004e-04 1.392047747284781978e-01 3.509941796705239470e-03 1.176743063641435966e-01 3.038680354623392484e-03 9.619884196033989809e-01 1.245494666714614881e-02 9.654664623407963608e-01 1.260977854669706119e-02
4.364285714285714990e-01 6.019210000000000393e-01 1.471502633364933600e-03 2.162448790070736204e-01 4.020598806395030839e-03 1.860456292266458589e-01 4.459350693283896383e-03 9.670968510803648055e-01 1.639876156655302800e-02 9.732594587733343072e-01 1.630763957237705425e-02
5.785714285714286254e-01 4.945080000000000031e-01 1.277987636872886636e-03 3.043393797155742320e-01 3.257076951443583016e-03 2.632420909928926966e-01 4.108532312813061721e-03 9.341057074577203689e-01 1.023893246956789939e-02 9.428142561725131321e-01 1.051551908047766194e-02
7.207142857142857517e-01 4.089456000000000202e-01 6.766389288239163481e-04 4.015561571532959562e-01 1.635635839226968384e-03 3.550122615584053731e-01 3.852136723106619649e-03 9.056703233129794750e-01 8.435643739123874565e-03 9.189863154737606399e-01 8.655741275958318479e-03
8.628571428571429891e-01 3.384932000000000496e-01 1.352122982572197740e-03 4.903748428391397352e-01 1.755449878738057218e-03 4.386554836376232447e-01 6.686954527289915885e-03 8.785153324453993662e-01 7.734443664657209179e-03 8.957951189745253506e-01 7.331788084790688033e-03
1.005000000000000115e+00 2.818980000000000374e-01 8.330894309736681762e-04 5.660458231441822807e-01 1.016866464701631943e-03 5.117324318566588426e-01 4.960349259577993830e-03 8.452926648771599272e-01 1.037762380926811334e-02 8.653877644432672600e-01 1.082904158337025594e-02
1.147142857142857242e+00 2.335333999999999466e-01 2.412092916949923772e-03 6.303547910878327665e-01 4.756076006906452438e-04 5.760127784250759220e-01 5.108632203168132595e-03 8.149295343857410057e-01 4.702399469861301244e-03 8.380529748379046406e-01 4.621662224314574199e-03
1.289285714285714368e+00 1.939783999999999953e-01 2.790546011088172566e-03 6.850661208014756642e-01 1.381900380380024062e-03 6.311012078452457041e-01 5.305066593488722351e-03 7.898004417376079944e-01 5.637363689620513742e-03 8.150754311443429989e-01 5.306752577060274215e-03
1.431428571428571495e+00 1.629168000000000283e-01 1.115097735626810124e-03 7.302834659770450765e-01 8.578398813268287883e-04 6.844619549009193227e-01 5.328872975650648068e-03 7.606242220426778777e-01 2.848714457369800473e-03 7.881218241955491033e-01 3.096430982868254075e-03
1.573571428571428621e+00 1.354525999999999786e-01 1.653750960695133526e-03 7.689274452131573678e-01 9.994105872488357693e-04 7.299959336122620046e-01 4.424214008622975695e-03 7.419837155671463735e-01 3.472988458816351435e-03 7.711366532474943636e-01 3.682924455602379354e-03
1.715714285714285969e+00 1.126103999999999994e-01 8.528668360301123021e-04 8.030839088568269002e-01 6.895077701429270893e-04 7.674650462928449546e-01 2.088379432864259644e-03 7.133519280065033774e-01 5.261844774276202077e-03 7.435394693716774750e-01 5.108354292006113580e-03
1.857857142857143096e+00 9.432739999999999181e-02 1.485232857164145394e-03 8.313673434564931020e-01 1.301104647184061960e-03 7.917095002299135986e-01 4.162412584937291195e-03 6.896403312612420233e-01 1.669241210241961555e-03 7.195949238176837515e-01 1.972382106940041846e-03
2.000000000000000000e+00 7.758319999999999106e-02 6.473723503517775455e-04 8.569581187408701339e-01 9.128071577846054397e-04 8.275665225904045297e-01 4.582796432212737914e-03 6.627996821497208479e-01 4.019523864733465929e-03 6.941312308912553908e-01 4.421160302948912851e-03
