target_frac co_fracs_mean co_fracs_std cont_mean cont_std cont_potts_mean cont_potts_std d_eq_mean_mean d_eq_mean_std d_eq_potts_mean_mean d_eq_potts_mean_std
1.000000000000000021e-02 9.896317999999999504e-01 3.428879700427078336e-04 1.069537468913641688e-02 1.211986781451501564e-02 6.352479289537311946e-03 6.451027720387980842e-03 9.685419437339584103e-01 7.492299548742277493e-02 9.688421232654998994e-01 7.479695072920057586e-02
1.521428571428571630e-01 8.578915999999999764e-01 1.034348219895006105e-03 1.212882986154686371e-01 8.403254934884024988e-03 1.010148036807802796e-01 6.503038732681093795e-03 9.720637713085149567e-01 1.548793265184673223e-02 9.765007626628496862e-01 1.528801128425747759e-02
2.942857142857143171e-01 7.455553999999999792e-01 3.513439602440880313e-03 2.236751374844500595e-01 1.017888890042283577e-02 1.871407603018891419e-01 8.800621272711136450e-03 9.259848101929032405e-01 1.667214209681513321e-02 9.348674916403860724e-01 1.679312579570415437e-02
4.364285714285714990e-01 6.477013999999999827e-01 5.875533051562238478e-03 3.107177357636257131e-01 1.019499933329836086e-02 2.661045124227819914e-01 1.149195687420134608e-02 8.907214477268891040e-01 1.362000093776601084e-02 9.030402580392784539e-01 1.356126491425486622e-02
5.785714285714286254e-01 5.574537999999999993e-01 2.601605150671396256e-03 3.825615986785552702e-01 4.110388599072742344e-03 3.315727450073784888e-01 3.393635476518235342e-03 8.622442346759224829e-01 8.378686679092188505e-03 8.770653824237777396e-01 8.787565442473686816e-03
7.207142857142857517e-01 4.860848000000000946e-01 3.934137130299352782e-03 4.519773289773508784e-01 6.286725239074942954e-03 3.992487981323305513e-01 6.783589788605224116e-03 8.281921437698184230e-01 8.690614761324488846e-03 8.455280942902925201e-01 9.305882584036789112e-03
8.628571428571429891e-01 4.232140000000000346e-01 3.769510259967453168e-03 5.153105054250687322e-01 2.992567872202723904e-03 4.546519644232122626e-01 2.952643786404171404e-03 7.974921301828193920e-01 3.627230032254252171e-03 8.165298487233354496e-01 3.526996339101356494e-03
1.005000000000000115e+00 3.639260000000000272e-01 4.742116784728121238e-03 5.666809561683737728e-01 1.773501329856202926e-03 5.073461163635147875e-01 4.982590644444858004e-03 7.733633764037212144e-01 8.811013923171108486e-03 7.941709233700353643e-01 8.831671529854942179e-03
1.147142857142857242e+00 3.189098000000000210e-01 3.208378369207706519e-03 6.133666885693840332e-01 2.051656146715168886e-03 5.578398095148117131e-01 3.814313321503055680e-03 7.392675080940689369e-01 6.020707013116502818e-03 7.610608685475572788e-01 5.732697573795887680e-03
1.289285714285714368e+00 2.718650000000000233e-01 2.893772969671241924e-03 6.528506694528662946e-01 1.017754740398570850e-03 5.998524649860668134e-01 2.805573847779155479e-03 7.255654315154205225e-01 6.070671922968314330e-03 7.485185892377959060e-01 5.496590825088638020e-03
1.431428571428571495e+00 2.355836000000000041e-01 5.780914896450210783e-03 6.912952774259488731e-01 2.551128789208580161e-03 6.366341395407303372e-01 1.561379389295930020e-03 6.870875273191625610e-01 5.950815905005437702e-03 7.099007120157379003e-01 5.617368824810977518e-03
1.573571428571428621e+00 2.071486000000000161e-01 3.092586270421566683e-03 7.245859849963185439e-01 3.241226626747499649e-03 6.697540106464768828e-01 4.161914316576757061e-03 6.713873667230680908e-01 3.830903148537870458e-03 6.941241908745756639e-01 3.771841233017112719e-03
1.715714285714285969e+00 1.804551999999999823e-01 1.516428356368996165e-03 7.520096849826209962e-01 2.418076072047949977e-03 7.039907133207893297e-01 4.289958689327036390e-03 6.440362416723822703e-01 2.294259228033027672e-03 6.664893438111554325e-01 3.357354150502903437e-03
1.857857142857143096e+00 1.586024000000000045e-01 5.025287120155453105e-03 7.782298423235435303e-01 2.939808061373268364e-03 7.313449991261504746e-01 3.232954412205201952e-03 6.252963390323807991e-01 4.467863080296615580e-03 6.462850457088376022e-01 5.122103792015077033e-03
2.000000000000000000e+00 1.364057999999999937e-01 3.667456742757852980e-03 8.010537214279374041e-01 2.508815362204752045e-03 7.589017262215778103e-01 3.658943694175041672e-03 5.972357398986605226e-01 4.279406728392904508e-03 6.185096444105495639e-01 4.489115100556322936e-03
