target_frac co_fracs_mean co_fracs_std cont_mean cont_std cont_potts_mean cont_potts_std d_eq_mean_mean d_eq_mean_std d_eq_potts_mean_mean d_eq_potts_mean_std
1.000000000000000021e-02 9.895775999999999462e-01 5.659893991939479355e-05 1.445670415343839124e-02 9.043262363085372360e-03 1.066236860950717756e-02 6.530153799202178741e-03 9.983376656507306768e-01 1.875798552231618859e-03 9.983334911515964194e-01 1.861411708473506088e-03
1.521428571428571630e-01 8.591163999999998913e-01 5.306500164892018461e-04 1.410227531007768320e-01 4.619627856981511210e-03 1.092612860089754029e-01 2.895682486847343372e-03 9.706762185452788572e-01 1.390222321813024998e-03 9.720427053625531055e-01 1.365052254753472069e-03
2.942857142857143171e-01 7.441879999999999606e-01 2.820273745578604375e-03 2.448396984828956069e-01 1.126334756929556202e-02 1.949777286863377257e-01 9.774429746040334821e-03 9.472084920648271567e-01 4.305964803006150088e-03 9.493734008528237345e-01 3.864330310146216890e-03
4.364285714285714990e-01 6.472826000000000413e-01 1.585220691260340016e-03 3.415789492288714424e-01 4.551690818540254403e-03 2.798565137874364228e-01 5.707616183688892647e-03 9.212096210366599314e-01 1.861361811694694276e-03 9.246512283204483262e-01 1.937933584882059858e-03
5.785714285714286254e-01 5.596756000000000508e-01 2.579109582782408271e-03 4.177943613071623541e-01 3.882999685558649605e-03 3.495941754496129095e-01 5.064818256340974066e-03 9.000042782084596293e-01 2.008508058848851134e-03 9.043392647262449291e-01 1.602145339370420135e-03
7.207142857142857517e-01 4.850099999999999412e-01 5.278712267210619591e-03 4.864175678573003370e-01 5.113495092219130789e-03 4.167976003375478133e-01 2.218641584948409951e-03 8.769026983887888704e-01 3.867799195615233970e-03 8.827189720858026334e-01 4.511478346289800843e-03
8.628571428571429891e-01 4.223309999999999564e-01 1.518166789256052704e-03 5.472102355986541156e-01 2.397922820787809495e-03 4.737143453291374762e-01 2.288828729927280207e-03 8.542983940882755700e-01 1.039410901205808924e-03 8.606446351983685350e-01 1.348272532518404558e-03
1.005000000000000115e+00 3.645798000000000094e-01 2.851938526686727694e-03 5.985704381489965753e-01 1.437051100049088325e-03 5.241701549066762889e-01 4.068672243739514423e-03 8.330062625676978305e-01 2.164723563175800607e-03 8.404383819690737223e-01 1.690157564307332924e-03
1.147142857142857242e+00 3.214031999999999445e-01 1.501818417785573531e-03 6.456979953266208661e-01 1.377806788814117406e-03 5.708923556809428757e-01 2.395887778621370260e-03 8.094136911093349207e-01 9.935722469053991958e-04 8.168985625889941815e-01 1.200726161354911036e-03
1.289285714285714368e+00 2.752704000000000262e-01 1.310446580368678730e-03 6.856293217478268698e-01 2.810808428848696281e-03 6.193528229253069117e-01 5.555988579837287979e-03 7.912922830027621091e-01 9.462060727237691727e-04 8.008646359540575466e-01 5.477745889865487730e-04
1.431428571428571495e+00 2.373639999999999917e-01 3.051113698307542262e-03 7.227093806928819308e-01 1.194075004103780637e-03 6.577457725877875472e-01 3.160674358299409709e-03 7.734411426091906128e-01 1.730108841254212075e-03 7.834484861546442414e-01 1.569662762042076890e-03
1.573571428571428621e+00 2.087590000000000001e-01 2.823193723427440665e-03 7.520226040712441051e-01 1.892577024890149291e-03 6.927147588005713175e-01 5.018020624734101029e-03 7.521864437288235949e-01 9.630926859731663188e-04 7.617430188083622600e-01 9.333270420515436339e-04
1.715714285714285969e+00 1.804738000000000175e-01 2.054205968251501032e-03 7.781062068080545346e-01 1.346113220989887975e-03 7.231580440087516104e-01 2.762504722192449767e-03 7.343812172126972238e-01 1.092898868466458603e-03 7.444839301961998501e-01 9.256983614814216993e-04
1.857857142857143096e+00 1.553133999999999904e-01 1.920434596647332612e-03 8.040566363814944939e-01 1.711220434109313225e-03 7.509031640392425100e-01 7.028010771576296244e-03 7.175349340945347265e-01 1.225412376256436757e-03 7.271399678436295533e-01 1.691290254122058707e-03
2.000000000000000000e+00 1.359606000000000148e-01 1.919683265541503002e-03 8.256608156111742147e-01 1.495744043378200144e-03 7.756855653187383348e-01 3.847969720263334347e-03 6.998057604433350898e-01 8.214189150697393579e-04 7.096798625266338423e-01 1.610499199042742403e-03
