target_frac co_fracs_mean co_fracs_std cont_mean cont_std cont_potts_mean cont_potts_std d_eq_mean_mean d_eq_mean_std d_eq_potts_mean_mean d_eq_potts_mean_std
1.000000000000000021e-02 9.894142000000000214e-01 2.983229122947175880e-04 1.087956956599531351e-02 8.456110127106749794e-03 8.772879794002333420e-03 7.453591813648591941e-03 1.026040354465856286e+00 6.553502596225561916e-02 1.026179290785079079e+00 6.552561342654367182e-02
1.521428571428571630e-01 8.587407999999999708e-01 5.077666393137775800e-04 1.280023564083549448e-01 1.717523678974891164e-03 1.101417493136006287e-01 2.525328762467356474e-03 9.663042394472922680e-01 4.796252208554812289e-03 9.700423078144313482e-01 4.751022184010609412e-03
2.942857142857143171e-01 7.457645999999999997e-01 2.900994629433154958e-03 2.286944890039125655e-01 7.367767442798963187e-03 1.972806774864836465e-01 6.879130517491796604e-03 9.282714331428053578e-01 2.103318228914046600e-02 9.349000336636648090e-01 2.087784416384887848e-02
4.364285714285714990e-01 6.449300000000000033e-01 1.298874897748062513e-03 3.093026706238607981e-01 4.270560339380188516e-03 2.723133478333742974e-01 3.010511405786894541e-03 9.019056943012093708e-01 1.029860642076279274e-02 9.116785533303444211e-01 1.030400752407101619e-02
5.785714285714286254e-01 5.596714000000000411e-01 2.765634003262159094e-03 3.881235738525757872e-01 1.991709465013701084e-03 3.428114083068876661e-01 5.648176583424686578e-03 8.751583571575732856e-01 1.350436341343171261e-02 8.877556853494199540e-01 1.339131646808246895e-02
7.207142857142857517e-01 4.859242000000000283e-01 1.797832405982269796e-03 4.546404041350639025e-01 2.335016956126275030e-03 4.076490669560464686e-01 6.101579312526738200e-03 8.428006519767272664e-01 4.195005775575954936e-03 8.579165762696450148e-01 5.175157202052777829e-03
8.628571428571429891e-01 4.220411999999999497e-01 2.675799050750988020e-03 5.163040949563090232e-01 4.065065057730516199e-03 4.683320318258830106e-01 5.891318651550435555e-03 8.180045373014450671e-01 3.269706418516953560e-03 8.350568995631693081e-01 3.212992553196502947e-03
1.005000000000000115e+00 3.648926000000000114e-01 2.956200372099294059e-03 5.679855079046574051e-01 3.671967704936619434e-03 5.197873169254332293e-01 3.697880061484507767e-03 7.839239006911833396e-01 9.636758944018476714e-03 8.031435176303979295e-01 9.330912155374631797e-03
1.147142857142857242e+00 3.149203999999999892e-01 3.562636922281042437e-03 6.152937767998636343e-01 2.759484868863670663e-03 5.639017059395075027e-01 5.093000571782690944e-03 7.667591402578131099e-01 5.705220975326837085e-03 7.872124393051384006e-01 6.143623782281308274e-03
1.289285714285714368e+00 2.729679999999999884e-01 2.647664857945574487e-03 6.545136213295166261e-01 2.006613749908439572e-03 6.067888928867806175e-01 7.061627126751143443e-03 7.454541158300134196e-01 5.103591409173905899e-03 7.678378154451286353e-01 4.989715422471018708e-03
1.431428571428571495e+00 2.374585999999999919e-01 3.992830104074031675e-03 6.910878362379916373e-01 2.425048563581594548e-03 6.456005301339954316e-01 5.832525003063418305e-03 7.148205577236409480e-01 4.993492169538926717e-03 7.380187421873456444e-01 4.902743778177643189e-03
1.573571428571428621e+00 2.061679999999999902e-01 3.641028426145580341e-03 7.254862783717177521e-01 2.253214205867800583e-03 6.805804197962487256e-01 2.975973407564500624e-03 6.899984059346013776e-01 5.307906264329175991e-03 7.138030141402376128e-01 5.413496606525446467e-03
1.715714285714285969e+00 1.799154000000000031e-01 2.742527126575056238e-03 7.554161752305340594e-01 1.487078321316754638e-03 7.090391453517265186e-01 5.182679656345352999e-03 6.731370369004762155e-01 2.830933990995905015e-03 6.968880046268227657e-01 3.379232794214335599e-03
1.857857142857143096e+00 1.572115999999999791e-01 5.070578412765125963e-03 7.810872500355776626e-01 2.175733455557764696e-03 7.379268270211145619e-01 6.995381388565377091e-03 6.499023719732683890e-01 4.000541234648015247e-03 6.743500810400654411e-01 4.279370448979822293e-03
2.000000000000000000e+00 1.348569999999999769e-01 2.606658090352458133e-03 8.056795037209703025e-01 2.991481108770498078e-03 7.659049643253947881e-01 5.135104082272542655e-03 6.307076239941157292e-01 5.560429318499802466e-03 6.557578937494641380e-01 5.632348872493021102e-03
