target_frac co_fracs_mean co_fracs_std cont_mean cont_std cont_potts_mean cont_potts_std d_eq_mean_mean d_eq_mean_std d_eq_potts_mean_mean d_eq_potts_mean_std
1.000000000000000021e-02 9.898257999999999779e-01 1.533002283103665833e-04 3.896356906292616166e-05 7.792713812585232332e-05 3.896356906292616166e-05 7.792713812585232332e-05 9.965904082018631760e-01 9.506356105271590584e-02 9.965904082018631760e-01 9.506356105271590584e-02
1.092857142857142777e-01 8.901291999999999538e-01 2.901650564764859746e-04 2.512710464938579420e-03 7.006519623196840602e-04 2.512710464938579420e-03 7.006519623196840602e-04 1.024390655975260689e+00 2.535255587137979008e-02 1.024390655975260689e+00 2.535255587137979008e-02
2.085714285714285743e-01 7.906790000000001317e-01 4.670661623367714432e-04 5.696890168782703552e-03 4.744220763398780552e-04 5.696890168782703552e-03 4.744220763398780552e-04 1.012358650801526982e+00 1.101396325952740986e-02 1.012358650801526982e+00 1.101396325952740986e-02
3.078571428571428292e-01 6.914341999999999988e-01 4.767013320728157532e-04 1.042907354172229427e-02 7.859966285943365905e-04 1.042907354172229427e-02 7.859966285943365905e-04 1.003635074548960615e+00 7.674320027618448427e-03 1.003635074548960615e+00 7.674320027618448427e-03
4.071428571428571397e-01 5.926879999999999926e-01 2.067762075288312104e-04 2.182374379461750682e-02 1.165011439199354487e-03 2.182374379461750682e-02 1.165011439199354487e-03 1.002361934946569111e+00 5.869635349700748177e-03 1.002361934946569111e+00 5.869635349700748177e-03
5.064285714285714501e-01 4.938605999999999829e-01 2.941622681446504116e-04 5.651845791308122285e-02 1.250062157632932667e-03 5.543606941332192284e-02 1.196563806127181814e-03 9.978157539240891660e-01 9.963841521775094676e-03 9.979239011837721662e-01 9.971576784688901754e-03
6.057142857142856496e-01 3.998653999999999265e-01 2.448751518631296317e-04 1.412886854410818072e-01 2.250587603060608469e-03 1.339215868939161447e-01 1.959118272813635975e-03 9.926841903936693967e-01 1.153441961919523563e-02 9.936418217262537045e-01 1.159255763375793662e-02
7.049999999999999600e-01 3.147490000000000010e-01 4.032532702905171373e-04 2.530994698331273662e-01 1.057033437880412242e-03 2.369787821402808137e-01 2.088266760434762982e-03 9.836658657085737278e-01 3.921811430204973949e-03 9.867832914063503491e-01 3.837244850821227779e-03
8.042857142857142705e-01 2.421949999999999936e-01 4.363012720586660642e-04 3.755973100638931861e-01 1.708190772695805616e-03 3.511297840155491734e-01 2.359532363160023009e-03 9.721355949113273942e-01 4.340254589678008666e-03 9.789348209058934547e-01 4.293924199809563171e-03
9.035714285714285809e-01 1.814030000000000364e-01 5.773640099625288727e-04 4.947681609007190673e-01 1.874984344928006625e-03 4.616909092454496988e-01 1.387656956161235390e-03 9.480308877177059390e-01 8.763323747948782716e-03 9.595694015790915410e-01 8.896409892311735873e-03
1.002857142857142891e+00 1.327308000000000099e-01 7.093970397457407271e-04 6.030019449296737388e-01 7.162542450290770423e-04 5.706394951399633708e-01 1.446850073060609605e-03 9.296048302897709226e-01 5.933103227267394475e-03 9.475674410468885034e-01 5.940491019350771854e-03
1.102142857142857091e+00 9.449040000000000217e-02 2.662304265105592963e-04 6.975494058241797912e-01 9.825426368618053567e-04 6.627715024013053347e-01 3.036937898084151721e-03 9.007484361774584780e-01 2.211417017931583979e-03 9.255335704795755181e-01 2.060533203983212509e-03
1.201428571428571290e+00 6.506979999999999709e-02 5.603029180719772085e-04 7.773942487690554959e-01 1.214438806407328042e-03 7.482879884242729096e-01 2.566606807378669919e-03 8.680510753232395516e-01 6.551410706267401900e-03 9.002895399293200374e-01 6.507193590329996349e-03
1.300714285714285712e+00 4.367419999999999636e-02 5.300005283016161932e-04 8.409737094924121248e-01 1.474770703809147928e-03 8.164575805589086022e-01 4.761745078604774986e-03 8.376180635850658529e-01 6.817052997336382411e-03 8.776148773161146499e-01 6.772931813955606305e-03
1.399999999999999911e+00 2.845799999999998331e-02 5.065384486887294620e-04 8.895815183144352156e-01 1.486588371043481155e-03 8.678858659167356659e-01 4.557870844937291464e-03 8.049154765842292392e-01 5.653286914112624559e-03 8.514094585179133867e-01 5.889510761979591981e-03
