target_frac co_fracs_mean co_fracs_std cont_mean cont_std cont_potts_mean cont_potts_std d_eq_mean_mean d_eq_mean_std d_eq_potts_mean_mean d_eq_potts_mean_std
1.000000000000000021e-02 9.895243999999999707e-01 1.654811167475844834e-05 1.061383336281620360e-04 2.122766672563240720e-04 1.061383336281620360e-04 2.122766672563240720e-04 1.000105395427594690e+00 5.248537462470231982e-04 1.000105395427594690e+00 5.248537462470231982e-04
1.092857142857142777e-01 8.905705999999999900e-01 1.009209591710052653e-04 2.726364847562911132e-03 7.125460297284025649e-04 2.726364847562911132e-03 7.125460297284025649e-04 9.999811305585509791e-01 3.078472447264274728e-04 9.999811305585509791e-01 3.078472447264274728e-04
2.085714285714285743e-01 7.909660000000000579e-01 1.032898833380939077e-04 6.961176687327234533e-03 3.844122997823586508e-04 6.961176687327234533e-03 3.844122997823586508e-04 1.000177183204694398e+00 1.640401557735422127e-04 1.000177183204694398e+00 1.640401557735422127e-04
3.078571428571428292e-01 6.920664000000000815e-01 8.159068574289848321e-05 1.685601393865444886e-02 5.206861841320509915e-04 1.682635747186163322e-02 5.328539601728479302e-04 1.000051645768901487e+00 8.799159563449810925e-05 1.000051205475789518e+00 8.812523676169653909e-05
4.071428571428571397e-01 5.938218000000000663e-01 2.017794835953425569e-04 5.275900485207822566e-02 2.217720224710013899e-03 4.998216212662257019e-02 1.935341233553840258e-03 9.990165208715364731e-01 1.660888020980481362e-04 9.989850100278641065e-01 1.777401412642110653e-04
5.064285714285714501e-01 5.005665999999999727e-01 2.184001831501345672e-04 1.282458631766114909e-01 2.099933865554868672e-03 1.164853918785008630e-01 2.110857821895949574e-03 9.950060930969240047e-01 1.475046523154717557e-04 9.948738183295530169e-01 1.709557216539972805e-04
6.057142857142856496e-01 4.157933999999999797e-01 1.362007342124183244e-04 2.220960290648226199e-01 7.760785839294119092e-04 1.989263217981853682e-01 1.105232783198496337e-03 9.875743468459348140e-01 8.530588816728164781e-05 9.876372477907610081e-01 1.168056687588582315e-04
7.049999999999999600e-01 3.400271999999999739e-01 1.010849147994072154e-04 3.260309335687348042e-01 1.218279683244655794e-03 2.904644022784118595e-01 3.003916917841045493e-03 9.770554946090902471e-01 4.742830892851642219e-05 9.775379331670359662e-01 2.405740102306536089e-04
8.042857142857142705e-01 2.737679999999999558e-01 5.221601286961380850e-04 4.277763309616697818e-01 1.854901345905397153e-03 3.845345540755945590e-01 3.619265395346454774e-03 9.641642937924818080e-01 2.429728845371420358e-04 9.655999028704271847e-01 1.885576085956433133e-04
9.035714285714285809e-01 2.181065999999999838e-01 6.344098359893382512e-04 5.208710031358562143e-01 8.607491556806507252e-04 4.700514264228997097e-01 3.527365676881738348e-03 9.489146452459145120e-01 2.878308513296701579e-04 9.516865848838339526e-01 4.771350290392467066e-04
1.002857142857142891e+00 1.710592000000000223e-01 9.452703317040763505e-05 6.067611863703563646e-01 1.152855647409255918e-03 5.512747210346605753e-01 3.367344867668356414e-03 9.320261333689836558e-01 8.970134397746477135e-05 9.366026114516314838e-01 2.774898178506304391e-04
1.102142857142857091e+00 1.326670000000000071e-01 4.104548696263933408e-04 6.813669161647953887e-01 9.492629616739514968e-04 6.316884476451882779e-01 1.665793883330927766e-03 9.137316798372767668e-01 1.632776025477104321e-04 9.215344878959215169e-01 2.889241797467181883e-04
1.201428571428571290e+00 1.018398000000000081e-01 4.463027671883663125e-04 7.452997581772577984e-01 7.763054288650891952e-04 6.937707802314969641e-01 1.343810761306212485e-03 8.942396880397509573e-01 1.986808016529554590e-04 9.049979625298119057e-01 1.298970405334921375e-04
1.300714285714285712e+00 7.626600000000001434e-02 4.189859186177995317e-04 8.002008738344038585e-01 6.495478923082307699e-04 7.548508286128833289e-01 1.738516318743002975e-03 8.742917346833550818e-01 1.652124490813218288e-04 8.892008786440801504e-01 1.171118681288402556e-04
1.399999999999999911e+00 5.655619999999998704e-02 4.371967063005277143e-04 8.453515570876672935e-01 1.065016761172041639e-03 8.079443671383641501e-01 5.371451024943829297e-03 8.536601634917124759e-01 1.735400217925398545e-04 8.733562675316527413e-01 4.886969501786865436e-04
