target_frac co_fracs_mean co_fracs_std cont_mean cont_std cont_potts_mean cont_potts_std d_eq_mean_mean d_eq_mean_std d_eq_potts_mean_mean d_eq_potts_mean_std
1.000000000000000021e-02 9.895232000000000472e-01 3.053937785875835060e-04 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.069253132552675511e+00 1.207024525244934643e-01 1.069253132552675511e+00 1.207024525244934643e-01
1.092857142857142777e-01 8.904509999999999925e-01 1.644724901009310641e-04 2.408317933502770840e-03 5.770671381435093367e-04 2.408317933502770840e-03 5.770671381435093367e-04 1.001076848279662368e+00 1.221239621980779906e-02 1.001076848279662368e+00 1.221239621980779906e-02
2.085714285714285743e-01 7.910109999999999086e-01 3.002598874308639687e-04 5.981058400564076734e-03 2.339639222535781218e-04 5.981058400564076734e-03 2.339639222535781218e-04 9.953592421944055246e-01 6.752046085994963150e-03 9.953592421944055246e-01 6.752046085994963150e-03
3.078571428571428292e-01 6.917467999999999950e-01 3.507599749115785704e-04 1.467661777606993345e-02 1.408808370972239798e-03 1.467661777606993345e-02 1.408808370972239798e-03 1.007428842699965799e+00 1.861856056131007409e-02 1.007428842699965799e+00 1.861856056131007409e-02
4.071428571428571397e-01 5.928730000000000944e-01 3.742881243106772221e-04 3.667756167938072964e-02 1.557376869001582788e-03 3.628771157247830115e-02 1.517002082908911658e-03 9.908696179429178352e-01 9.606937563897998897e-03 9.909069649090979093e-01 9.612884734223814051e-03
5.064285714285714501e-01 4.960702000000000167e-01 5.074624715188300311e-04 9.820304499413698429e-02 2.678521528374866543e-03 9.415016956827357286e-02 2.295629316585514734e-03 1.000797809378309200e+00 1.629640074969193955e-03 1.001407710568015030e+00 1.635321922437003644e-03
6.057142857142856496e-01 4.075927999999999218e-01 6.109282772961105012e-04 1.903149246287130503e-01 3.082172192146796948e-03 1.795329566800812071e-01 2.142620355143392153e-03 9.874514036366065506e-01 7.682669823346116589e-03 9.895159295090472096e-01 7.627142936813402843e-03
7.049999999999999600e-01 3.295683999999999836e-01 9.072581991913813591e-04 2.979014833105213533e-01 2.016382322503061739e-03 2.784883260607355915e-01 3.216865349490394266e-03 9.819069916852625202e-01 9.335298978351114219e-03 9.866040220152756390e-01 9.393438659477722913e-03
8.042857142857142705e-01 2.616014000000000395e-01 5.913992221841200001e-04 4.049786923972894526e-01 1.862494850918769819e-03 3.789893688333488830e-01 2.284116720731585188e-03 9.562225783853455230e-01 5.142662382181713461e-03 9.641752099168782175e-01 5.202740052069778146e-03
9.035714285714285809e-01 2.039692000000000172e-01 6.851608278353265268e-04 5.068504239432145564e-01 1.805671694667494113e-03 4.749947762453770039e-01 4.366363767349614247e-03 9.292376846204337681e-01 8.046425459911620351e-03 9.409770522043039431e-01 7.840269228663526019e-03
1.002857142857142891e+00 1.579570000000000141e-01 7.838076294602044176e-04 5.990847774734215925e-01 1.507208963242866228e-03 5.656382423042456420e-01 5.433207688403143311e-03 9.133733052851867873e-01 4.982994676591532071e-03 9.299636358739548081e-01 4.943747251616509818e-03
1.102142857142857091e+00 1.200232000000000243e-01 6.097262992524073557e-04 6.777680126056065957e-01 1.070576574720902762e-03 6.468871931261953589e-01 3.141444181059330036e-03 8.892452303433427963e-01 6.136927177036071920e-03 9.113207045193316702e-01 6.399033083224046729e-03
1.201428571428571290e+00 9.021539999999998727e-02 1.077345552735962421e-03 7.461740620027091930e-01 1.695848454657840473e-03 7.160027785414989632e-01 6.096723529211846293e-03 8.626598294086902374e-01 3.308139337428201137e-03 8.895424737614092692e-01 3.699450220850431653e-03
1.300714285714285712e+00 6.570880000000001164e-02 2.030077831020046320e-04 8.049612335672330365e-01 6.716899004922589379e-04 7.820946999942357536e-01 1.371944925951903418e-03 8.307158389935738185e-01 6.917170298106830283e-03 8.624817761633117863e-01 7.246112522271735273e-03
1.399999999999999911e+00 4.782020000000002102e-02 6.766113803358735036e-04 8.519521246972393547e-01 1.466911861866827252e-03 8.278221093557778243e-01 3.593233263273071677e-03 8.039979390632581158e-01 6.170816138014073235e-03 8.405799125815009987e-01 6.511503274375014978e-03
